Date,Load
01/01/2025 00.00,55.2
01/01/2025 00.15,51.6
01/01/2025 00.30,56.4
01/01/2025 00.45,62.4
01/01/2025 01.00,57.6
01/01/2025 01.15,55.2
01/01/2025 01.30,58.8
01/01/2025 01.45,64.8
01/01/2025 02.00,66
01/01/2025 02.15,66
01/01/2025 02.30,68.4
01/01/2025 02.45,67.2
01/01/2025 03.00,69.6
01/01/2025 03.15,62.4
01/01/2025 03.30,60
01/01/2025 03.45,60
01/01/2025 04.00,66
01/01/2025 04.15,61.2
01/01/2025 04.30,62.4
01/01/2025 04.45,66
01/01/2025 05.00,63.6
01/01/2025 05.15,62.4
01/01/2025 05.30,61.2
01/01/2025 05.45,61.2
01/01/2025 06.00,68.4
01/01/2025 06.15,70.8
01/01/2025 06.30,70.8
01/01/2025 06.45,73.2
01/01/2025 07.00,67.2
01/01/2025 07.15,72
01/01/2025 07.30,76.8
01/01/2025 07.45,72
01/01/2025 08.00,78
01/01/2025 08.15,72
01/01/2025 08.30,67.2
01/01/2025 08.45,61.2
01/01/2025 09.00,74.4
01/01/2025 09.15,70.8
01/01/2025 09.30,73.2
01/01/2025 09.45,86.4
01/01/2025 10.00,80.4
01/01/2025 10.15,90
01/01/2025 10.30,90
01/01/2025 10.45,82.8
01/01/2025 11.00,82.8
01/01/2025 11.15,85.2
01/01/2025 11.30,75.6
01/01/2025 11.45,73.2
01/01/2025 12.00,66
01/01/2025 12.15,66
01/01/2025 12.30,55.2
01/01/2025 12.45,57.6
01/01/2025 13.00,63.6
01/01/2025 13.15,58.8
01/01/2025 13.30,57.6
01/01/2025 13.45,66
01/01/2025 14.00,67.2
01/01/2025 14.15,70.8
01/01/2025 14.30,66
01/01/2025 14.45,60
01/01/2025 15.00,69.6
01/01/2025 15.15,73.2
01/01/2025 15.30,72
01/01/2025 15.45,63.6
01/01/2025 16.00,68.4
01/01/2025 16.15,75.6
01/01/2025 16.30,67.2
01/01/2025 16.45,62.4
01/01/2025 17.00,61.2
01/01/2025 17.15,57.6
01/01/2025 17.30,61.2
01/01/2025 17.45,64.8
01/01/2025 18.00,55.2
01/01/2025 18.15,62.4
01/01/2025 18.30,61.2
01/01/2025 18.45,68.4
01/01/2025 19.00,58.8
01/01/2025 19.15,54
01/01/2025 19.30,68.4
01/01/2025 19.45,68.4
01/01/2025 20.00,56.4
01/01/2025 20.15,57.6
01/01/2025 20.30,54
01/01/2025 20.45,58.8
01/01/2025 21.00,60
01/01/2025 21.15,58.8
01/01/2025 21.30,57.6
01/01/2025 21.45,58.8
01/01/2025 22.00,57.6
01/01/2025 22.15,63.6
01/01/2025 22.30,67.2
01/01/2025 22.45,69.6
01/01/2025 23.00,79.2
01/01/2025 23.15,87.6
01/01/2025 23.30,76.8
01/01/2025 23.45,78
02/01/2025 00.00,85.2
02/01/2025 00.15,75.6
02/01/2025 00.30,72
02/01/2025 00.45,70.8
02/01/2025 01.00,74.4
02/01/2025 01.15,69.6
