Model,MSE,MAE,R2,LearningRate,InputSize,HiddenSize,NumLayers,SeqLength,WindowLength,PolyOrder,PolyOrder,MAPE,Accuracy
LSTM,58.31004542,5.296657882,0.993401519,0.001,1,16,2,128,0.1,11,3,19.23025006,80.76974994
LSTM,71.90947225,5.32535765,0.991712242,0.001,1,16,4,32,0.1,11,3,19.36589378,80.63410622
LSTM,90.28343354,5.517120669,0.989670692,0.001,1,16,4,64,0.1,11,3,19.67265719,80.32734281
LSTM,65.46338989,5.60202834,0.99245517,0.001,1,16,2,32,0.1,11,3,21.10482594,78.89517406
LSTM,79.60347491,6.048761551,0.990825488,0.001,1,16,2,32,0.4,11,3,23.9533847,76.0466153
LSTM,73.02298986,6.05773627,0.991645456,0.001,1,16,2,64,0.2,11,3,22.23588882,77.76411118
LSTM,91.09375605,6.068602692,0.989577984,0.001,1,16,4,64,0.2,11,3,17.22606127,82.77393873
LSTM,74.60013211,6.139016993,0.991402136,0.001,1,16,2,32,0.2,11,3,20.71801336,79.28198664
LSTM,91.3679089,6.714406537,0.989546618,0.001,1,4,2,64,0.1,11,3,25.91615682,74.08384318
LSTM,121.5360281,6.269256762,0.98609509,0.001,1,16,2,64,0.1,11,3,23.52160379,76.47839621
LSTM,107.668017,7.026489336,0.987816073,0.001,1,4,2,128,0.3,11,3,28.25099157,71.74900843
LSTM,108.1791193,6.749392892,0.987758236,0.001,1,4,2,128,0.1,11,3,25.0606581,74.9393419
LSTM,119.972539,6.292439998,0.986172845,0.001,1,16,4,32,0.2,11,3,17.06927047,82.93072953
LSTM,97.86061494,6.8918888,0.988721304,0.001,1,16,2,32,0.3,11,3,23.25180285,76.74819715
LSTM,121.2959993,7.218994011,0.986020313,0.001,1,16,2,32,0.5,11,3,27.00429028,72.99570972
LSTM,138.5727129,7.572074401,0.984318836,0.001,1,16,2,128,0.5,11,3,26.75510333,73.24489667
LSTM,123.28181,7.340336648,0.985895356,0.001,1,4,2,64,0.2,11,3,25.47417965,74.52582035
LSTM,115.9013525,7.612497135,0.986739752,0.001,1,16,2,64,0.4,11,3,24.57927212,75.42072788
LSTM,128.1888342,8.374609571,0.985493896,0.001,1,2,2,128,0.1,11,3,31.72270748,68.27729252
LSTM,134.6123289,8.034517879,0.984485571,0.001,1,4,2,32,0.1,11,3,31.257871,68.742129
LSTM,136.8411336,7.50089996,0.984228695,0.001,1,2,2,32,0.3,11,3,29.1506776,70.8493224
LSTM,138.5494532,7.904887097,0.984321468,0.001,1,2,2,128,0.3,11,3,35.04354522,64.95645478
LSTM,126.4625573,8.140185333,0.985689245,0.001,1,16,2,128,0.3,11,3,29.22546135,70.77453865
LSTM,145.83949,8.404409106,0.983496513,0.001,1,4,2,128,0.2,11,3,34.86587583,65.13412417
LSTM,155.9602373,8.573104599,0.982351229,0.001,1,2,2,128,0.2,11,3,35.96740964,64.03259036
LSTM,174.8760673,9.035007094,0.979845068,0.001,1,4,2,32,0.4,11,3,34.73017268,65.26982732
LSTM,354.5847484,8.245033734,0.959432038,0.001,1,16,2,64,0.3,11,3,26.03781504,73.96218496
LSTM,178.9065177,9.025452101,0.979380547,0.001,1,4,2,32,0.2,11,3,31.95803261,68.04196739
