Date,Load
01/01/2025 00.00,1
01/01/2025 00.15,2
01/01/2025 00.30,3
01/01/2025 00.45,4
01/01/2025 01.00,5
01/01/2025 01.15,6
01/01/2025 01.30,7
01/01/2025 01.45,8
01/01/2025 02.00,9
01/01/2025 02.15,10
01/01/2025 02.30,11
01/01/2025 02.45,12
01/01/2025 03.00,13
01/01/2025 03.15,14
01/01/2025 03.30,15
01/01/2025 03.45,16
01/01/2025 04.00,17
01/01/2025 04.15,18
01/01/2025 04.30,19
01/01/2025 04.45,20
01/01/2025 05.00,21
01/01/2025 05.15,22
01/01/2025 05.30,23
01/01/2025 05.45,24
01/01/2025 06.00,25
01/01/2025 06.15,26
01/01/2025 06.30,27
01/01/2025 06.45,28
01/01/2025 07.00,29
01/01/2025 07.15,30
01/01/2025 07.30,31
01/01/2025 07.45,32
01/01/2025 08.00,33
01/01/2025 08.15,34
01/01/2025 08.30,35
01/01/2025 08.45,36
01/01/2025 09.00,37
01/01/2025 09.15,38
01/01/2025 09.30,39
01/01/2025 09.45,40
01/01/2025 10.00,41
01/01/2025 10.15,42
01/01/2025 10.30,43
01/01/2025 10.45,44
01/01/2025 11.00,45
01/01/2025 11.15,46
01/01/2025 11.30,47
01/01/2025 11.45,48
01/01/2025 12.00,49
01/01/2025 12.15,50
01/01/2025 12.30,51
01/01/2025 12.45,52
01/01/2025 13.00,53
01/01/2025 13.15,54
01/01/2025 13.30,55
01/01/2025 13.45,56
01/01/2025 14.00,57
01/01/2025 14.15,58
01/01/2025 14.30,59
01/01/2025 14.45,60
01/01/2025 15.00,61
01/01/2025 15.15,62
01/01/2025 15.30,63
01/01/2025 15.45,64
01/01/2025 16.00,65
01/01/2025 16.15,66
01/01/2025 16.30,67
01/01/2025 16.45,68
01/01/2025 17.00,69
01/01/2025 17.15,70
01/01/2025 17.30,71
01/01/2025 17.45,72
01/01/2025 18.00,73
01/01/2025 18.15,74
01/01/2025 18.30,75
01/01/2025 18.45,76
01/01/2025 19.00,77
01/01/2025 19.15,78
01/01/2025 19.30,79
01/01/2025 19.45,80
01/01/2025 20.00,81
01/01/2025 20.15,82
01/01/2025 20.30,83
01/01/2025 20.45,84
01/01/2025 21.00,85
01/01/2025 21.15,86
01/01/2025 21.30,87
01/01/2025 21.45,88
01/01/2025 22.00,89
01/01/2025 22.15,90
01/01/2025 22.30,91
01/01/2025 22.45,92
01/01/2025 23.00,93
01/01/2025 23.15,94
01/01/2025 23.30,95
01/01/2025 23.45,96
02/01/2025 00.00,97
02/01/2025 00.15,98
02/01/2025 00.30,99
02/01/2025 00.45,100
02/01/2025 01.00,101
02/01/2025 01.15,102
02/01/2025 01.30,103
02/01/2025 01.45,104
02/01/2025 02.00,105
02/01/2025 02.15,106
02/01/2025 02.30,107
02/01/2025 02.45,108
02/01/2025 03.00,109
02/01/2025 03.15,110
02/01/2025 03.30,111
02/01/2025 03.45,112
02/01/2025 04.00,113
02/01/2025 04.15,114
02/01/2025 04.30,115
02/01/2025 04.45,116
02/01/2025 05.00,117
02/01/2025 05.15,118
02/01/2025 05.30,119
02/01/2025 05.45,120
02/01/2025 06.00,121
02/01/2025 06.15,122
02/01/2025 06.30,123
02/01/2025 06.45,124
02/01/2025 07.00,125
02/01/2025 07.15,126
02/01/2025 07.30,127
02/01/2025 07.45,128
02/01/2025 08.00,129
02/01/2025 08.15,130
02/01/2025 08.30,131
02/01/2025 08.45,132
02/01/2025 09.00,133
02/01/2025 09.15,134
02/01/2025 09.30,135
02/01/2025 09.45,136
02/01/2025 10.00,137
02/01/2025 10.15,138
02/01/2025 10.30,139
02/01/2025 10.45,140
02/01/2025 11.00,141
02/01/2025 11.15,142
02/01/2025 11.30,143
02/01/2025 11.45,144
02/01/2025 12.00,145
02/01/2025 12.15,146
02/01/2025 12.30,147
02/01/2025 12.45,148
02/01/2025 13.00,149
02/01/2025 13.15,150
02/01/2025 13.30,151
02/01/2025 13.45,152
02/01/2025 14.00,153
02/01/2025 14.15,154
02/01/2025 14.30,155
02/01/2025 14.45,156
02/01/2025 15.00,157
02/01/2025 15.15,158
02/01/2025 15.30,159
02/01/2025 15.45,160
02/01/2025 16.00,161
02/01/2025 16.15,162
02/01/2025 16.30,163
02/01/2025 16.45,164
02/01/2025 17.00,165
02/01/2025 17.15,166
02/01/2025 17.30,167
02/01/2025 17.45,168
02/01/2025 18.00,169
02/01/2025 18.15,170
02/01/2025 18.30,171
02/01/2025 18.45,172
02/01/2025 19.00,173
02/01/2025 19.15,174
02/01/2025 19.30,175
02/01/2025 19.45,176
02/01/2025 20.00,177
02/01/2025 20.15,178
02/01/2025 20.30,179
02/01/2025 20.45,180
02/01/2025 21.00,181
02/01/2025 21.15,182
02/01/2025 21.30,183
02/01/2025 21.45,184
02/01/2025 22.00,185
02/01/2025 22.15,186
02/01/2025 22.30,187
02/01/2025 22.45,188
02/01/2025 23.00,189
02/01/2025 23.15,190
02/01/2025 23.30,191
02/01/2025 23.45,192
03/01/2025 00.00,193
03/01/2025 00.15,194
03/01/2025 00.30,195
03/01/2025 00.45,196
03/01/2025 01.00,197
03/01/2025 01.15,198
03/01/2025 01.30,199
03/01/2025 01.45,200
03/01/2025 02.00,201
03/01/2025 02.15,202
03/01/2025 02.30,203
03/01/2025 02.45,204
03/01/2025 03.00,205
03/01/2025 03.15,206
03/01/2025 03.30,207
03/01/2025 03.45,208
03/01/2025 04.00,209
03/01/2025 04.15,210
03/01/2025 04.30,211
03/01/2025 04.45,212
03/01/2025 05.00,213
03/01/2025 05.15,214
03/01/2025 05.30,215
03/01/2025 05.45,216
03/01/2025 06.00,217
03/01/2025 06.15,218
03/01/2025 06.30,219
03/01/2025 06.45,220
03/01/2025 07.00,221
03/01/2025 07.15,222
03/01/2025 07.30,223
03/01/2025 07.45,224
03/01/2025 08.00,225
03/01/2025 08.15,226
03/01/2025 08.30,227
03/01/2025 08.45,228
03/01/2025 09.00,229
03/01/2025 09.15,230
03/01/2025 09.30,231
03/01/2025 09.45,232
03/01/2025 10.00,233
03/01/2025 10.15,234
03/01/2025 10.30,235
03/01/2025 10.45,236
03/01/2025 11.00,237
03/01/2025 11.15,238
03/01/2025 11.30,239
03/01/2025 11.45,240
03/01/2025 12.00,241
03/01/2025 12.15,242
03/01/2025 12.30,243
03/01/2025 12.45,244
03/01/2025 13.00,245
03/01/2025 13.15,246
03/01/2025 13.30,247
03/01/2025 13.45,248
03/01/2025 14.00,249
03/01/2025 14.15,250
03/01/2025 14.30,251
03/01/2025 14.45,252
03/01/2025 15.00,253
03/01/2025 15.15,254
03/01/2025 15.30,255
03/01/2025 15.45,256
03/01/2025 16.00,257
03/01/2025 16.15,258
03/01/2025 16.30,259
03/01/2025 16.45,260
03/01/2025 17.00,261
03/01/2025 17.15,262
03/01/2025 17.30,263
03/01/2025 17.45,264
03/01/2025 18.00,265
03/01/2025 18.15,266
03/01/2025 18.30,267
03/01/2025 18.45,268
03/01/2025 19.00,269
03/01/2025 19.15,270
03/01/2025 19.30,271
03/01/2025 19.45,272
03/01/2025 20.00,273
03/01/2025 20.15,274
03/01/2025 20.30,275
03/01/2025 20.45,276
03/01/2025 21.00,277
03/01/2025 21.15,278
03/01/2025 21.30,279
03/01/2025 21.45,280
03/01/2025 22.00,281
03/01/2025 22.15,282
03/01/2025 22.30,283
03/01/2025 22.45,284
03/01/2025 23.00,285
03/01/2025 23.15,286
03/01/2025 23.30,287
03/01/2025 23.45,288
04/01/2025 00.00,289
04/01/2025 00.15,290
04/01/2025 00.30,291
04/01/2025 00.45,292
04/01/2025 01.00,293
04/01/2025 01.15,294
04/01/2025 01.30,295
04/01/2025 01.45,296
04/01/2025 02.00,297
04/01/2025 02.15,298
04/01/2025 02.30,299
04/01/2025 02.45,300
04/01/2025 03.00,301
04/01/2025 03.15,302
04/01/2025 03.30,303
04/01/2025 03.45,304
04/01/2025 04.00,305
04/01/2025 04.15,306
04/01/2025 04.30,307
04/01/2025 04.45,308
04/01/2025 05.00,309
04/01/2025 05.15,310
04/01/2025 05.30,311
04/01/2025 05.45,312
04/01/2025 06.00,313
04/01/2025 06.15,314
04/01/2025 06.30,315
04/01/2025 06.45,316
04/01/2025 07.00,317
04/01/2025 07.15,318
04/01/2025 07.30,319
04/01/2025 07.45,320
04/01/2025 08.00,321
04/01/2025 08.15,322
04/01/2025 08.30,323
04/01/2025 08.45,324
04/01/2025 09.00,325
04/01/2025 09.15,326
04/01/2025 09.30,327
04/01/2025 09.45,328
04/01/2025 10.00,329
04/01/2025 10.15,330
04/01/2025 10.30,331
04/01/2025 10.45,332
04/01/2025 11.00,333
04/01/2025 11.15,334
04/01/2025 11.30,335
04/01/2025 11.45,336
04/01/2025 12.00,337
04/01/2025 12.15,338
04/01/2025 12.30,339
04/01/2025 12.45,340
04/01/2025 13.00,341
04/01/2025 13.15,342
04/01/2025 13.30,343
04/01/2025 13.45,344
04/01/2025 14.00,345
04/01/2025 14.15,346
04/01/2025 14.30,347
04/01/2025 14.45,348
04/01/2025 15.00,349
04/01/2025 15.15,350
04/01/2025 15.30,351
04/01/2025 15.45,352
04/01/2025 16.00,353
04/01/2025 16.15,354
04/01/2025 16.30,355
04/01/2025 16.45,356
04/01/2025 17.00,357
04/01/2025 17.15,358
04/01/2025 17.30,359
04/01/2025 17.45,360
04/01/2025 18.00,361
04/01/2025 18.15,362
04/01/2025 18.30,363
04/01/2025 18.45,364
04/01/2025 19.00,365
04/01/2025 19.15,366
